Protein1	Interface1	Protein2	Interface2	Stoichiometry
CLTCL1	PROX	CLTB	BIND	1:01
CORO6	CC_dimer	CORO1A	CC_dimer	1:01
PACSIN2	FBAR_DIMER	PACSIN2	FBAR_DIMER	1:01
PACSIN2	FBAR_top	PACSIN2	FBAR_bottom	1:01
DNM3	STALK_DIMER	DNM3	STALK_DIMER	1:01
GAK	CLAT	CLTC	TD_CBOX	1:01
GAK	Jdomain	HSPA8	COFACTOR	1:01
DNAJC6	Jdomain	HSPA8	COFACTOR	1:01
AP2A1	PIP2_BIND	PI45P2	Head_group	1:01
AP2A2	PIP2_BIND	PI45P2	Head_group	1:01
AP2B1	PIP2_BIND	PI45P2	Head_group	1:01
AP2M1	PIP2_BIND	PI45P2	Head_group	1:01
HIP1	ENTH	PI45P2	Head_group	1:01
HIP1	ENTH	PI_PS	Head_group	1:01
HIP1R	ENTH	PI45P2	Head_group	1:01
HIP1R	ENTH	PI_PS	Head_group	1:01
FCHO1	FBAR_MEM	PI45P2	Head_group	1:01
FCHO2	FBAR_MEM	PI45P2	Head_group	1:01
FCHO1	FBAR_MEM	PI_PS	Head_group	1:01
FCHO2	FBAR_MEM	PI_PS	Head_group	1:01
PICALM	ANTH_MEM	PI45P2	Head_group	1:01
ITSN1	PH	PI45P2	Head_group	1:01
AMPH	BAR_MEM	PI45P2	Head_group	1:01
AMPH	BAR_MEM	PI_PS	Head_group	1:01
DNM2	PH	PI45P2	Head_group	1:01
DNM1	PH	PI45P2	Head_group	1:01
DNM3	PH	PI45P2	Head_group	1:01
SNAP91	ANTH_MEM	PI45P2	Head_group	1:01
DAB2	PTB_MEM	PI45P2	Head_group	1:01
LDLRAP1	PTB_MEM	PI45P2	Head_group	1:01
ARRB1	PIP2_BIND	PI45P2	Head_group	1:01
ARRB2	PIP2_BIND	PI45P2	Head_group	1:01
NUMB	PTB_MEM	PI45P2	Head_group	1:01
EPN1	ENTH	PI45P2	Head_group	1:01
EPN2	ENTH	PI45P2	Head_group	1:01
TRIP10	FBAR_MEM	PI45P2	Head_group	1:01
TRIP10	FBAR_MEM	PI_PS	Head_group	1:01
EPN3	ENTH	PI45P2	Head_group	1:01
FNBP1	FBAR_MEM	PI45P2	Head_group	1:01
FNBP1	FBAR_MEM	PI_PS	Head_group	1:01
FNBP1L	FBAR_MEM	PI45P2	Head_group	1:01
FNBP1L	FBAR_MEM	PI_PS	Head_group	1:01
MYO1E	PH	PI45P2	Head_group	1:01
MYO1E	PH	PI_PS	Head_group	1:01
BIN1	BAR_MEM	PI45P2	Head_group	1:01
BIN1	BAR_MEM	PI_PS	Head_group	1:01
SH3GL2	BAR_MEM	PI45P2	Head_group	1:01
SH3GL1	BAR_MEM	PI45P2	Head_group	1:01
SH3GL3	BAR_MEM	PI45P2	Head_group	1:01
SH3GL2	BAR_MEM	PI_PS	Head_group	1:01
SH3GL1	BAR_MEM	PI_PS	Head_group	1:01
SH3GL3	BAR_MEM	PI_PS	Head_group	1:01
PACSIN2	FBAR_MEM	PI45P2	Head_group	1:01
PACSIN2	FBAR_MEM	PI_PS	Head_group	1:01
SNX9	BAR_PX	PI_PS	Head_group	1:01
SNX9	BAR_PX	PI45P2	Head_group	1:01
SNX9	BAR_PX	PI34P2	Head_group	1:01
SGIP1	MEM_BIND	PI_PS	Head_group	1:01
SGIP1	MEM_BIND	PI45P2	Head_group	1:01
AP2A1	CARGO_BIND	CARGO_DILEU	DEXXXLLI	1:01
AP2A2	CARGO_BIND	CARGO_DILEU	DEXXXLLI	1:01
AP2M1	M2MUH	CARGO_YXXO	YXXO	1:01
AP2S1	CARGO_BIND	CARGO_DILEU	DEXXXLLI	1:01
SNAP91	ANTH_VAMP	CARGO_VAMP2	coiled_coil	1:01
PICALM	ANTH_VAMP	CARGO_SNARE	coiled_coil	1:01
PICALM	ANTH_VAMP	CARGO_VAMP2	coiled_coil	1:01
DAB2	PTB_CARGO	CARGO_PTB	FYXNPXYF	1:01
LDLRAP1	PTB_CARGO	CARGO_PTB	FYXNPXYF	1:01
NUMB	PTB_CARGO	CARGO_PTB	FYXNPXYF	1:01
EPS15	UIM2	CARGO_ubiq	ubiquitin	1:01
EPN1	UIM	CARGO_ubiq	ubiquitin	1:01
EPN2	UIM	CARGO_ubiq	ubiquitin	1:01
EPN3	UIM	CARGO_ubiq	ubiquitin	1:01
SH3BP4	SH3	CARGO_YXXO	YXXO	1:01
AGFG1	CARGO_BIND	CARGO_VAMP7	longin	1:01
ARRB1	CARGO_BIND	CARGO_GPCR	pSpT	1:01
ARRB2	CARGO_BIND	CARGO_GPCR	pSpT	1:01
STON2	CARGO_BIND	CARGO_SYT1	C2	1:01
INPPL1	IPPc	PI345P3	Head_group	1:01
SYNJ1	IPPc_Sac1	PI45P2	Head_group	1:01
SYNJ2	IPPc_Sac1	PI45P2	Head_group	1:01
OCRL	IPPc	PI45P2	Head_group	1:01
PI4KA	Kinase_lipid	PI_PS	Head_group	01:00.5
PIP5K1C	Kinase_lipid	PI4P	Head_group	1:01
DNAJC6	PTENlike	PI_PS	Head_group	1:01
GAK	PTENlike	PI_PS	Head_group	1:01
